filename,true_label,predicted_label,confidence,num_segments
000146.tfrecord,Pop,Folk,0.9211277365684508,14
000348.tfrecord,Rock,Experimental,0.86493980884552,14
000297.tfrecord,Experimental,Electronic,0.8381716012954712,13
000082.tfrecord,Experimental,Electronic,0.8260815143585205,13
000185.tfrecord,Rock,Folk,0.8218987584114075,14
000207.tfrecord,Pop,Hip-Hop,0.8050639629364014,13
000199.tfrecord,Pop,Folk,0.7853073477745056,13
000106.tfrecord,Experimental,Folk,0.7818816304206848,13
000022.tfrecord,Pop,Experimental,0.778083860874176,14
000247.tfrecord,Pop,Folk,0.7770692110061646,14
000370.tfrecord,Experimental,Folk,0.7419217228889465,13
000402.tfrecord,Experimental,Electronic,0.7287776470184326,13
000044.tfrecord,Rock,Experimental,0.7134566903114319,13
000374.tfrecord,Hip-Hop,Electronic,0.6998822093009949,14
000140.tfrecord,Hip-Hop,Electronic,0.6977162957191467,13
000393.tfrecord,Folk,Experimental,0.6953044533729553,13
000245.tfrecord,Pop,Experimental,0.6840017437934875,14
000343.tfrecord,Pop,Folk,0.6804059147834778,14
000076.tfrecord,Pop,Electronic,0.6802603006362915,14
000115.tfrecord,Pop,Experimental,0.6718761920928955,13
000255.tfrecord,Pop,Experimental,0.6509930491447449,14
000253.tfrecord,Hip-Hop,Electronic,0.6334130167961121,14
000180.tfrecord,Pop,Folk,0.6325187683105469,13
000318.tfrecord,Pop,Folk,0.6299414038658142,13
000212.tfrecord,Pop,Folk,0.6282735466957092,13
000423.tfrecord,Pop,Folk,0.6257034540176392,14
000129.tfrecord,Pop,Folk,0.6198405027389526,13
000119.tfrecord,Pop,Folk,0.6196311116218567,13
000031.tfrecord,Folk,Experimental,0.6070376038551331,14
000310.tfrecord,Electronic,Folk,0.6001368165016174,13
000042.tfrecord,Pop,Electronic,0.6000528931617737,13
000346.tfrecord,Hip-Hop,Electronic,0.5990396738052368,13
000323.tfrecord,Experimental,Pop,0.5988373160362244,13
000215.tfrecord,Pop,Folk,0.5983349084854126,14
000154.tfrecord,Pop,Folk,0.597842276096344,14
000229.tfrecord,Rock,Experimental,0.5941444039344788,13
000008.tfrecord,Folk,Experimental,0.5914530158042908,13
000290.tfrecord,Pop,Folk,0.5889323353767395,13
000150.tfrecord,Electronic,Hip-Hop,0.5773588418960571,13
000015.tfrecord,Pop,Experimental,0.5711791515350342,13
000227.tfrecord,Electronic,Experimental,0.5710263252258301,14
000357.tfrecord,Pop,Folk,0.57011878490448,13
000063.tfrecord,Rock,Folk,0.5617231130599976,13
000296.tfrecord,Electronic,Hip-Hop,0.5597203969955444,13
000030.tfrecord,Hip-Hop,Electronic,0.5572544932365417,13
000303.tfrecord,Electronic,Hip-Hop,0.5572033524513245,14
000419.tfrecord,Experimental,Electronic,0.5539184808731079,13
000242.tfrecord,Rock,Folk,0.5536213517189026,13
000275.tfrecord,Pop,Folk,0.551263689994812,13
000145.tfrecord,Experimental,Electronic,0.549455463886261,13
000254.tfrecord,Pop,Folk,0.5487414598464966,13
000104.tfrecord,Electronic,Experimental,0.5395357012748718,14
000246.tfrecord,Pop,Folk,0.5393077731132507,14
000016.tfrecord,Rock,Experimental,0.5392689108848572,13
000380.tfrecord,Hip-Hop,Electronic,0.5354542136192322,13
000256.tfrecord,Experimental,Hip-Hop,0.5317559838294983,13
000269.tfrecord,Hip-Hop,Electronic,0.5198094248771667,14
000066.tfrecord,Experimental,Rock,0.5117618441581726,13
000250.tfrecord,Pop,Folk,0.5094215869903564,13
000011.tfrecord,Electronic,Hip-Hop,0.5074487924575806,13
000093.tfrecord,Rock,Folk,0.506165623664856,13
000183.tfrecord,Rock,Folk,0.5055285096168518,14
000320.tfrecord,Electronic,Hip-Hop,0.5018547177314758,14
000396.tfrecord,Pop,Folk,0.5000386238098145,13
000406.tfrecord,Electronic,Folk,0.4998915791511535,14
000103.tfrecord,Folk,Experimental,0.4992146790027618,13
000058.tfrecord,Pop,Hip-Hop,0.4987194240093231,13
000280.tfrecord,Pop,Folk,0.4970388412475586,14
000350.tfrecord,Experimental,Electronic,0.494804173707962,13
000121.tfrecord,Experimental,Electronic,0.490987092256546,13
000304.tfrecord,Hip-Hop,Electronic,0.4898458123207092,13
000178.tfrecord,Electronic,Rock,0.4889602661132812,13
000036.tfrecord,Experimental,Electronic,0.4853888750076294,13
000410.tfrecord,Experimental,Folk,0.4805901348590851,14
000048.tfrecord,Pop,Folk,0.4786154627799988,14
000175.tfrecord,Experimental,Electronic,0.4766656458377838,13
000069.tfrecord,Electronic,Rock,0.4755284190177917,14
000344.tfrecord,Folk,Rock,0.4727202951908111,14
000189.tfrecord,Electronic,Hip-Hop,0.4714080095291137,13
000440.tfrecord,Electronic,Hip-Hop,0.4711198508739471,13
